Key,Source,Changes,English,Japanese
JackLauncher,items,New,Jack Launcher,パンプキンランチャー
JackLauncherDesc,items,New,Special item that is only available in Halloween!,ハロウィンの時期にだけ出現するお祭り武器。\nカボチャ弾を発射しよう！
ammoJackRocketFrag,items,New,Jack Rocket Ammo(Flag), パンプキン弾(フラグ弾)
ammoJackRocketFragDesc,items,New,This ammo is compatible with Pumpkin Launcher!,ハロウィンの時期にだけ出現するお祭り武器。\nパンプキンランチャーで発射しよう！
ammoJackRocket,items,New,Jack Rocket Ammo, パンプキン弾
ammoJackRocketDesc,items,New,This ammo is compatible with Pumpkin Launcher!,ハロウィンの時期にだけ出現するお祭り武器。\nパンプキンランチャーで発射しよう！
JackHammer,items,New,Jack Hammer, パンプキンハンマー
JackHammerDesc,items,New,Special item that is only available in Halloween!,ハロウィンの時期にだけ出現するお祭り武器。\nカボチャで殴ってゾンビを撃退しよう！
JackGrenade,items,New,Jack Grenade, パンプキン爆弾
JackGrenadeDesc,items,New,Special item that is only available in Halloween!,ハロウィンの時期にだけ出現するお祭り武器。\n投げまくろう！
thrownTimedChargeJackOLantern,items,New,Jack Timed Charge, パンプキン時限爆弾
thrownTimedChargeJackOLanternDesc,items,New,Special item that is only available in Halloween!,ハロウィンの時期にだけ出現するお祭り武器。\n投げまくろう！

MinePumpkinJackOLantern,blocks,New,Jack Figure,ジャックオーランタン置物
MinePumpkinJackOLanternDesc,blocks,New,Special item that is only available in Halloween!,ハロウィンの時期にだけ出現するお祭り置物
TwitchAction_SupplyTurretPumpkinJackOLantern,UI,New,Figure Hank,ハンクの置物
TwitchAction_SupplyTurretPumpkinJackOLanternCommand,UI,New,#Hank, #ハンク
TwitchAction_SupplyTurretPumpkinJackOLanternDesc,UI,New,Spawn Hank figure,ハンクを出現させる

JackCop,entityclasses,New,Jack Cop,ぱんぷきんぐ君
TwitchAction_SupplyJackCop,UI,New,Pumpking,ぱんぷきんぐ君
TwitchAction_SupplyJackCopCommand,UI,New,#Pumpking, #ぱんぷきんぐ
TwitchAction_SupplyJackCopDesc,UI,New,Spawn Pumpking,ぱんぷきんぐ君を召還

TwitchActionCategory_Halloween,UI,New,Halloween,ハロウィン

TwitchAction_GachaBoxJunk,UI,New,Gacha Box Junk,ガチャBOX(2) - ジャンク
